control_id,pillar,title,severity,description,evidence_kind,evidence_value,maps_to,overrides,references,remediation_hint
BSI_ISMS1_A1,"ISMS -- Security Management",Management responsibility for information security (ISMS.1.A1),high,"The institutional management bears overall responsibility for information security and must ensure that an information security process is established, implemented, maintained, and continually improved. Management must actively support the information security officer, approve the security policy, and ensure adequate resources are provided for information security. This is the foundational Basis requirement for any IT-Grundschutz implementation.",context_doc,evidence/isms1-a1-management-responsibility.md,GDPR_Art_24;ISO_27001_A.5.1;ISO_27001_A.5.4,,https://www.bsi.bund.de/dok/ISMS-1,"Obtain formal management endorsement of the security programme; document it in the security policy and review it at least annually; include information security in management reporting."
BSI_ISMS1_A3,"ISMS -- Security Management",Information security policy (ISMS.1.A3),high,"A written information security policy, approved by management, must be established and communicated to all staff. The policy must define the objectives and scope of information security, management's commitment to the programme, and the organisational framework. The policy must be reviewed at defined intervals and following significant changes.",context_doc,evidence/isms1-a3-security-policy.md,GDPR_Art_24;ISO_27001_A.5.1,,https://www.bsi.bund.de/dok/ISMS-1,"Draft and publish the security policy with explicit management sign-off; establish an annual review cycle; provide staff with acknowledgement of having read the policy."
BSI_ISMS1_A4,"ISMS -- Security Management",Appointment of an information security officer (ISMS.1.A4),high,"An information security officer (ISO) must be appointed with sufficient authority, resources, and access to ensure the information security process is established across the institution. The ISO must be given adequate time and support and must be able to escalate to management without obstruction. The appointment must be formally documented.",context_doc,evidence/isms1-a4-security-officer.md,GDPR_Art_37;ISO_27001_A.5.2,,https://www.bsi.bund.de/dok/ISMS-1,"Formalise the ISO appointment in writing; define scope of authority; ensure the role is distinct from operational IT management to preserve independence."
BSI_ISMS1_A6,"ISMS -- Security Management",Defining security measures (ISMS.1.A6),high,"Security measures necessary to protect information assets in scope must be identified, documented, implemented, and their status tracked. The selection of measures must be risk-driven and aligned with the applicable Bausteine from the BSI IT-Grundschutz Kompendium. Outstanding measures must be tracked in a remediation plan with owners and target dates.",context_doc,evidence/isms1-a6-security-measures.md,GDPR_Art_32;ISO_27001_A.5.31,,https://www.bsi.bund.de/dok/ISMS-1,"Complete the IT-Grundschutz modelling for all target objects; assign owners to each measure; track open items in a remediation register with defined completion dates."
BSI_ISMS1_A8,"ISMS -- Security Management",Integrating staff into the security process (ISMS.1.A8),high,"All staff must be made aware of information security requirements relevant to their role. Mandatory awareness training must be provided at onboarding and at regular intervals thereafter. Staff must be informed of the escalation path for security incidents and of their responsibilities during the incident response process.",context_doc,evidence/isms1-a8-staff-awareness.md,GDPR_Art_29;ISO_27001_A.6.3,,https://www.bsi.bund.de/dok/ISMS-1,"Implement a mandatory onboarding security briefing and annual refresher; record completion; include contractor and third-party personnel in the programme."
BSI_ORP1_A1,"ORP -- Organisation and Personnel",Roles and responsibilities for information security (ORP.1.A1),high,"Roles and responsibilities for information security must be clearly defined, documented, and communicated to all relevant staff. All staff must know their information security obligations. Responsibilities must cover normal operations, incidents, and continuity events.",context_doc,evidence/orp1-a1-roles-responsibilities.md,GDPR_Art_24;ISO_27001_A.5.2;ISO_27001_A.5.3,,https://www.bsi.bund.de/dok/ORP-1,"Document an RACI for information security; publish it to all staff; review roles when the organisational structure changes."
BSI_ORP1_A2,"ORP -- Organisation and Personnel",Assignment of tasks and authorisations (ORP.1.A2),high,"Tasks and authorisations must be assigned in a consistent and documented manner. No single person should hold both the operational and auditing role for a critical process. Privileges must follow the principle of least privilege and must be periodically reviewed to detect and remove accumulation of rights.",context_doc,evidence/orp1-a2-task-assignment.md,GDPR_Art_32;ISO_27001_A.5.3;ISO_27001_A.8.2,,https://www.bsi.bund.de/dok/ORP-1,"Review access rights at least annually; enforce least-privilege assignment at provisioning; separate duties for critical operations."
BSI_ORP1_A4,"ORP -- Organisation and Personnel",Documented operating procedures (ORP.1.A4),high,"Documented operating procedures must exist for all security-relevant processes including onboarding, offboarding, change management, incident response, and backup and recovery. Procedures must be accessible to responsible staff and must be kept current. A review cycle must be defined for each procedure.",context_doc,evidence/orp1-a4-procedures.md,ISO_27001_A.5.37,,https://www.bsi.bund.de/dok/ORP-1,"Maintain a living set of standard operating procedures in an accessible location; assign an owner to each procedure; establish and enforce an annual review cycle."
BSI_ORP2_A1,"ORP -- Organisation and Personnel",Regulated procedures for onboarding new staff (ORP.2.A1),high,"A defined onboarding process must ensure that new staff, including temporary staff and contractors, receive the access rights, equipment, and security briefings required for their role. Access must be provisioned only after identity verification and role assignment are complete. The process must be documented and applied consistently.",context_doc,evidence/orp2-a1-onboarding.md,GDPR_Art_29;ISO_27001_A.6.1;ISO_27001_A.6.2,,https://www.bsi.bund.de/dok/ORP-2,"Establish a joiner checklist that gates system access on role approval and security acknowledgement; include contractor and third-party staff."
BSI_ORP2_A2,"ORP -- Organisation and Personnel",Regulated procedures for offboarding departing staff (ORP.2.A2),high,"A defined offboarding process must ensure that all access rights are revoked promptly when staff leave or change role. Credentials, tokens, certificates, and physical access must all be covered. The process must apply equally to permanent and temporary staff and must be tested periodically.",context_doc,evidence/orp2-a2-offboarding.md,GDPR_Art_32;ISO_27001_A.6.5;ISO_27001_A.8.18,,https://www.bsi.bund.de/dok/ORP-2,"Implement an automated deprovisioning trigger on HR termination events; verify revocation within 24 hours; log the completion of each offboarding action."
