control_id,pillar,title,severity,description,evidence_kind,evidence_value,maps_to,overrides,references,remediation_hint
BSI_C5_OIS-01,OIS -- Organisational Information Security,Information security policy documented and communicated,high,"A written information security policy, approved by management, must be established and communicated to all internal and relevant external users. The policy must set out the objectives and scope of information security, management commitment, and the governance framework applicable to the cloud service.",context_doc,evidence/ois-01-security-policy.md,BSI_ISMS1_A3;ISO_27001_A.5.1;GDPR_Art_24,,BSI C5:2020 OIS-01,Draft and publish an information security policy with explicit management sign-off; establish an annual review cycle.
BSI_C5_OIS-02,OIS -- Organisational Information Security,Information security roles and responsibilities defined,high,"Roles and responsibilities for information security in the context of the cloud service must be clearly defined, documented, and communicated to all relevant staff.",context_doc,evidence/ois-02-roles-responsibilities.md,BSI_ORP1_A1;ISO_27001_A.5.2;ISO_27001_A.5.3,,BSI C5:2020 OIS-02,Document an RACI matrix for information security roles; publish it to all staff; update when organisational structure changes.
BSI_C5_OIS-03,OIS -- Organisational Information Security,Risk management process established,high,"A risk management process applicable to the cloud service must be established, documented, and operationalised. The process must include risk identification, analysis, evaluation, and treatment.",context_doc,ops_runbooks,BSI_ISMS1_A6;ISO_27001_A.6.1;ISO_27001_A.8.2,,BSI C5:2020 OIS-03,Establish a risk register; assign ownership of each risk; review at least annually and after significant changes.
BSI_C5_OIS-04,OIS -- Organisational Information Security,Security objectives aligned with business objectives,medium,Information security objectives relevant to the cloud service must be documented and aligned with the overall business strategy. Objectives must be measurable and monitored.,context_doc,ops_runbooks,BSI_ISMS1_A1;ISO_27001_A.5.1,,BSI C5:2020 OIS-04,Define measurable security objectives; include them in management reporting; review progress at least quarterly.
BSI_C5_OIS-05,OIS -- Organisational Information Security,Third-party and supplier security management policy,high,"A policy and documented process for managing the security risks introduced by third parties and subcontractors must exist, covering selection, contracting, monitoring, and exit.",context_doc,ops_runbooks,BSI_OPS22_A1;ISO_27001_A.5.19;ISO_27001_A.5.20,,BSI C5:2020 OIS-05,Establish a supplier register; include security requirements in all contracts; conduct periodic compliance reviews.
BSI_C5_PRY-01,PRY -- Physical Security,Physical access control to data centre and server rooms,high,Physical access to facilities hosting the cloud service infrastructure must be restricted to authorised personnel via security zones and authenticated mechanisms.,context_doc,ops_runbooks,ISO_27001_A.7.2;ISO_27001_A.7.3,,BSI C5:2020 PRY-01,Implement card-based or biometric access control; maintain access logs; review access rights quarterly.
BSI_C5_PRY-02,PRY -- Physical Security,Environmental controls for data centre facilities,medium,"Facilities hosting the cloud service must be protected against environmental threats including fire, flood, extreme temperature, and power interruption.",context_doc,ops_runbooks,ISO_27001_A.7.5;ISO_27001_A.7.6,,BSI C5:2020 PRY-02,Verify fire suppression, flood detection, temperature monitoring, and UPS systems; review maintenance records annually.
BSI_C5_PRY-03,PRY -- Physical Security,Equipment disposal and reuse procedures,high,"Procedures must exist for the secure disposal or reuse of storage media and equipment. All data must be securely erased or the media physically destroyed before disposal or reuse.",context_doc,ops_runbooks,BSI_CON6_A1;ISO_27001_A.7.14;ISO_27001_A.8.10,,BSI C5:2020 PRY-03,Implement a secure media disposal process aligned to BSI TR-03138; maintain a disposal register.
BSI_C5_PRY-04,PRY -- Physical Security,Secure media handling and cabling protection,medium,"Removable media must be controlled and inventoried. Power and telecommunications cabling must be protected from interception and physical damage.",context_doc,ops_runbooks,ISO_27001_A.7.12;ISO_27001_A.7.13,,BSI C5:2020 PRY-04,Maintain a removable media register; enforce USB port restrictions; inspect cabling infrastructure annually.
BSI_C5_HRS-01,HRS -- Human Resources Security,Background verification for staff in sensitive roles,high,"Background checks proportionate to role sensitivity must be conducted for all personnel with access to cloud service infrastructure, customer data, or security controls.",context_doc,evidence/hrs-01-background-checks.md,BSI_ORP2_A1;ISO_27001_A.6.1,,BSI C5:2020 HRS-01,Define screening requirements by role classification; conduct checks before granting access; maintain records.
