control_id,pillar,title,severity,description,evidence_kind,evidence_value,maps_to,overrides,references,remediation_hint
GDPR_Art_5_1_a,Chapter II -- Principles,"Lawfulness, fairness and transparency (Art 5(1)(a))",critical,"Personal data shall be processed lawfully, fairly and in a transparent manner in relation to the data subject. Recital 39 elaborates: the principle of transparency requires that any information addressed to the public or to the data subject be concise, easily accessible and easy to understand. A workload satisfies this only when it carries an evidenced lawful basis (Art 6), runs no covert collection, and exposes plain-language notices (Art 12/13/14).",context_doc,evidence/02-art-5-1-a-lawfulness-fairness-transparency.md,ISO_27001_A.5.34;SOC_2_P1.1;AI10P-DAT-01,GDPR_Art_5,"https://gdpr-info.eu/art-5-gdpr/","Document the lawful basis for each processing operation; publish privacy notices in plain language; remove covert tracking."
GDPR_Art_5_1_b,Chapter II -- Principles,"Purpose limitation (Art 5(1)(b))",critical,"Personal data shall be collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes. Further processing for archiving in the public interest, scientific or historical research, or statistical purposes is not considered incompatible (Recital 50). The workload must record the specified purpose at collection time and gate any new use through a compatibility assessment (Art 6(4)).",context_doc,evidence/02-art-5-1-b-purpose-limitation.md,ISO_27001_A.5.33;SOC_2_P1.1,GDPR_Art_5,"https://gdpr-info.eu/art-5-gdpr/","Maintain a purpose registry; gate cross-purpose reuse through DPO review."
GDPR_Art_5_1_c,Chapter II -- Principles,"Data minimisation (Art 5(1)(c))",critical,"Personal data shall be adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (Recital 39). The workload collects no more attributes than the lawful purpose requires; on review, any field collected but unused at the purpose level is justified or dropped.",context_doc,evidence/02-art-5-1-c-data-minimisation.md,ISO_27001_A.5.34;SOC_2_C1.1;AI10P-DAT-02,GDPR_Art_5,"https://gdpr-info.eu/art-5-gdpr/","Audit collected fields against the purpose registry; drop unused attributes; design new collection minimal-first."
GDPR_Art_5_1_d,Chapter II -- Principles,"Accuracy (Art 5(1)(d))",high,"Personal data shall be accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay. Operationalised together with the data-subject's Art 16 right to rectification.",manual_questionnaire,evidence/02-art-5-1-d-accuracy-questionnaire.yaml,ISO_27001_A.8.10;SOC_2_PI1.4,GDPR_Art_5,"https://gdpr-info.eu/art-5-gdpr/","Wire a self-service rectification flow; instrument data-quality metrics; reconcile against source systems."
GDPR_Art_5_1_e,Chapter II -- Principles,"Storage limitation (Art 5(1)(e))",high,"Personal data shall be kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed. Longer storage is permitted only for archiving in the public interest, scientific or historical research, or statistical purposes subject to appropriate safeguards (Recital 39).",context_doc,evidence/02-art-5-1-e-storage-limitation.md,ISO_27001_A.5.33;ISO_27001_A.8.10,GDPR_Art_5,"https://gdpr-info.eu/art-5-gdpr/","Define and enforce retention schedules per purpose; automate purge / pseudonymisation at TTL."
GDPR_Art_5_1_f,Chapter II -- Principles,"Integrity and confidentiality (security principle) (Art 5(1)(f))",critical,"Personal data shall be processed in a manner that ensures appropriate security, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (Recital 39). This principle is operationalised in Article 32 (security of processing); the principle statement is itself an Art 83(5) Tier-1 fineable obligation.",reuse_standard_signal,CRYPTO,ISO_27001_A.5.10;ISO_27001_A.8.24;SOC_2_CC6.1;AI10P-DAT-01,GDPR_Art_5,"https://gdpr-info.eu/art-5-gdpr/","Trace evidence to Art 32 sub-controls; close any technical-control gap surfaced in Art 32 family."
GDPR_Art_6,Chapter II -- Principles,"Lawfulness of processing -- six lawful bases (Art 6)",critical,"Processing shall be lawful only if and to the extent that at least one of: (a) consent of the data subject, (b) performance of a contract, (c) compliance with a legal obligation, (d) protection of vital interests, (e) performance of a task in the public interest or exercise of official authority, (f) legitimate interests pursued by the controller (subject to the rights and freedoms of the data subject -- not available to public authorities in the performance of their tasks). Recital 47 elaborates the balancing test for legitimate interests.",context_doc,evidence/02-art-6-lawful-basis.md,ISO_27001_A.5.34;HIPAA_164.502,,"https://gdpr-info.eu/art-6-gdpr/","For each processing purpose record the chosen lawful basis; for (f) record the balancing test (LIA)."
GDPR_Art_7,Chapter II -- Principles,"Conditions for consent (Art 7)",critical,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented (1); consent shall be presented in an intelligible and easily accessible form, using clear and plain language (2); the data subject shall have the right to withdraw consent at any time and withdrawal shall be as easy as giving consent (3); when assessing whether consent is freely given, account shall be taken of whether performance of a contract is conditional on consent that is not necessary for the contract (4). Recital 32 + 42 + 43 elaborate.",manual_questionnaire,evidence/02-art-7-consent-questionnaire.yaml,ISO_27001_A.5.34;AI10P-DAT-01,,"https://gdpr-info.eu/art-7-gdpr/","Implement opt-in consent capture (no pre-ticked boxes); store consent records; expose easy withdrawal."
GDPR_Art_8,Chapter II -- Principles,"Conditions applicable to child's consent in relation to information society services (Art 8)",high,"Where information society services are offered directly to a child and Article 6(1)(a) consent is the lawful basis, processing shall be lawful where the child is at least 16 years old (Member States may lower to not below 13). For children below the applicable age, processing is lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility. Recital 38.",context_doc,evidence/02-art-8-children-consent.md,COPPA_312;ISO_27001_A.5.34,,"https://gdpr-info.eu/art-8-gdpr/","Implement age-gating at the consent boundary; verify parental authorisation for under-age users in scope."
GDPR_Art_9,Chapter II -- Principles,"Processing of special categories of personal data (Art 9)",critical,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health, sex life or sexual orientation, shall be prohibited (1) unless one of ten specific exceptions in (2) applies (explicit consent, employment / social security / social protection, vital interests, legitimate activities of foundations / associations / not-for-profit bodies, manifestly made public, legal claims, substantial public interest, preventive / occupational medicine, public interest in the area of public health, archiving / scientific or historical research / statistical purposes). Recital 51-56.",context_doc,evidence/02-art-9-special-categories.md,ISO_27001_A.5.12;ISO_27001_A.8.24;HIPAA_164.514;AI10P-DAT-02,,"https://gdpr-info.eu/art-9-gdpr/","Map every special-category processing to the chosen Art 9(2) exception; tighten access controls and encryption at rest beyond the baseline."
